epoch,train_loss,train_acc,val_acc,val_loss
1,0.22852946136399485,0.9040325101594249,0.9001,0.888
2,0.028055548586391515,0.9918724601437949,0.9154,0.2809
3,0.011974665439880105,0.9970303219756174,0.9873,0.0308
4,0.0015964131605735433,0.9998437011566115,0.909,0.5078
5,0.0004031041174767921,1.0,0.9069,0.5792
6,0.0003129053906580516,1.0,0.9192,0.427
7,0.00020245375027016875,1.0,0.9365,0.2881
8,0.00032726653207799976,0.9998437011566115,0.9979,0.0053
9,0.00137378228181913,0.9996874023132228,0.9001,1.298
10,0.0004960686454830589,0.9998437011566115,0.945,0.2531
11,0.00014086616936969626,1.0,0.9111,0.5984
12,0.00014083443290234283,1.0,0.9835,0.0481
13,0.0003851264052220544,1.0,0.9391,0.1817
14,0.03402219822664639,0.990778368240075,0.9006,0.3227
15,0.046549767373180964,0.9876523913723039,0.9111,0.3376
16,0.004559394300188351,0.9989059080962801,0.9285,0.2569
17,0.003495447621387483,0.9989059080962801,0.9179,0.377
18,0.0008097702991710111,0.9996874023132228,0.9513,0.1693
19,0.0002238388255089475,1.0,0.9319,0.3034
20,0.00012018518523992091,1.0,0.9344,0.2997
21,0.00012248876575944917,1.0,0.9154,0.5577
22,0.00021069055708476791,1.0,0.9255,0.3888
23,9.181096160541598e-05,1.0,0.9175,0.5369
24,0.002060532303704386,0.9993748046264458,0.9006,0.922
25,0.027689916038202724,0.9926539543607378,0.9001,1.4301
26,0.007112673534572831,0.9978118161925602,0.9183,0.3873
27,0.0018776361909501368,0.9992185057830572,0.9052,0.6599
28,0.0002485036134102327,1.0,0.9124,0.5754
29,7.496649747328818e-05,1.0,0.9247,0.4103
30,6.225711599908914e-05,1.0,0.92,0.4819
31,4.8413715856988974e-05,1.0,0.9111,0.6462
32,5.81568534103552e-05,1.0,0.9094,0.6941
33,5.4597765932411814e-05,1.0,0.9111,0.6497
34,6.992947299655838e-05,1.0,0.9116,0.6315
35,6.22909437893786e-05,1.0,0.9344,0.3725
36,3.0276416299278266e-05,1.0,0.9391,0.3482
37,5.109660705908009e-05,1.0,0.9298,0.4378
38,2.4939974860943736e-05,1.0,0.9234,0.5269
39,1.9078471123873694e-05,1.0,0.9234,0.5456
40,1.6990981854722975e-05,1.0,0.9348,0.3912
41,2.228340670893884e-05,1.0,0.9293,0.4301
42,2.0000271284732557e-05,1.0,0.9348,0.399
43,1.1842347209510825e-05,1.0,0.9259,0.5081
44,2.4920622698354084e-05,1.0,0.9386,0.3704
45,1.4453868024008539e-05,1.0,0.9306,0.4388
46,1.5357594202803432e-05,1.0,0.9268,0.5135
47,2.7560209064128555e-05,1.0,0.9276,0.4978
48,4.3617209976372396e-05,1.0,0.9209,0.5349
49,1.591037230812874e-05,1.0,0.9196,0.5661
50,0.00014468040705285033,0.9998437011566115,0.9137,0.7621
