epoch,train_loss,train_acc,val_acc,val_loss
1,0.15365594247218203,0.9375,0.7732,2.6886
2,0.0023813445897423392,0.9998543123543123,0.7998,2.486
3,0.0004971104093876933,1.0,0.8024,1.952
4,0.0013365444822151687,0.9994172494172494,0.7973,4.0741
5,0.005606323510252639,0.9983974358974359,0.7998,4.516
6,0.0010464599151242988,1.0,0.7998,3.9888
7,0.011318732372522143,0.9965034965034965,0.6809,3.7623
8,0.006381302778766488,0.9985431235431236,0.7998,5.0084
9,0.0005849712582696924,0.9998543123543123,0.7998,4.2437
10,0.021956031016423638,0.9938811188811189,0.7994,3.6619
11,0.0005875593181145253,0.9998543123543123,0.8011,3.44
12,0.01420400037817362,0.9969405594405595,0.7275,5.7641
13,0.009187327175971559,0.9978146853146853,0.8286,3.4847
14,0.0004938927872284702,1.0,0.8223,4.1029
15,0.0004766474163496915,1.0,0.8261,4.0363
16,0.00017782054830375502,1.0,0.8062,5.5702
17,0.00012261532946423402,1.0,0.8155,4.6402
18,0.00015166979901466002,1.0,0.81,5.1692
19,3.587730356917059e-05,1.0,0.8117,4.9294
20,3.689192991177234e-05,1.0,0.8142,4.7617
21,2.3806854683657136e-05,1.0,0.8218,4.5979
22,5.073357777298036e-05,1.0,0.8024,5.8348
23,0.00023825002329384658,1.0,0.8074,5.0341
24,4.751224203108309e-05,1.0,0.7998,7.8764
25,3.7440953174329756e-05,1.0,0.8121,5.3221
26,2.576113190639951e-05,1.0,0.8028,5.7103
27,2.4367551055645185e-05,1.0,0.8024,6.1366
28,2.2339387971064828e-05,1.0,0.8036,5.97
29,2.7320967258924665e-05,1.0,0.8074,5.6796
30,1.5758730223794027e-05,1.0,0.8041,5.9506
31,8.258033312680994e-05,1.0,0.8015,6.263
32,0.005814473237359006,0.9978146853146853,0.8231,5.5431
33,0.0018212886505788466,0.9994172494172494,0.8176,4.6391
34,0.0005291984189743171,0.9998543123543123,0.7994,8.2476
35,5.848282150439515e-05,1.0,0.7994,7.6193
36,0.004527638842686288,0.9994172494172494,0.8007,8.5701
37,0.004534274162780244,0.9989801864801865,0.7998,8.1128
38,0.000356958625816587,1.0,0.7998,7.6343
39,0.00010787565389684443,1.0,0.7998,8.8986
40,4.247896396938945e-05,1.0,0.7998,8.1608
41,3.768810561501969e-05,1.0,0.7998,8.7057
42,5.402829340112164e-05,1.0,0.7998,8.3502
43,2.460752952270448e-05,1.0,0.7998,8.5921
44,3.583346212338994e-05,1.0,0.7998,8.1733
45,0.0007447590706305808,0.9998543123543123,0.7998,10.1223
46,5.965832649333326e-05,1.0,0.7998,7.9102
47,0.0005518322153789891,0.9998543123543123,0.8087,6.2822
48,0.07325700384461817,0.9820804195804196,0.8341,3.42
49,0.0013699005485123179,0.9997086247086248,0.8024,4.893
50,0.0005886076155516125,0.9998543123543123,0.8011,5.0698
