epoch,train_loss,train_acc,val_acc,val_loss
1,0.25976455607467897,0.8922383434286519,0.9852,0.0365
2,0.02515846947009949,0.9935202141146641,0.9958,0.0129
3,0.006831705303961281,0.998732215805043,0.9987,0.0031
4,0.003545047972021827,0.9985913508944921,1.0,0.001
5,0.008480566476041023,0.996760107057332,0.9987,0.0029
6,0.0033296609298067103,0.9990139456261445,0.9992,0.0023
7,0.001437941446901409,0.9995774052683477,1.0,0.0001
8,0.0008677778079731265,0.9997182701788985,1.0,0.0006
9,0.0003507947766344461,1.0,0.9983,0.0043
10,0.00014592775212295678,1.0,0.9996,0.0006
11,7.038287780701213e-05,1.0,0.9996,0.0006
12,5.107329974416356e-05,1.0,1.0,0.0004
13,6.932910484067354e-05,1.0,1.0,0.0
14,4.882765262380018e-05,1.0,0.9996,0.0006
15,3.558662088853967e-05,1.0,0.9996,0.0004
16,3.2938261358192936e-05,1.0,0.9996,0.0003
17,2.765547026688503e-05,1.0,1.0,0.0003
18,3.982826022086862e-05,1.0,1.0,0.0001
19,2.0193110044959864e-05,1.0,1.0,0.0001
20,2.07968644480442e-05,1.0,1.0,0.0001
21,1.8370848748765533e-05,1.0,1.0,0.0001
22,2.8062837566582747e-05,1.0,1.0,0.0002
23,1.5827775102872723e-05,1.0,1.0,0.0002
24,1.3985852476665848e-05,1.0,1.0,0.0002
25,8.534353669039064e-06,1.0,1.0,0.0002
26,1.4627614695718565e-05,1.0,1.0,0.0001
27,1.0797624590379012e-05,1.0,1.0,0.0001
28,5.512490710476039e-05,1.0,1.0,0.0001
29,1.816731349303757e-05,1.0,0.9996,0.0005
30,1.053070911254905e-05,1.0,0.9996,0.0004
31,1.2508198605314848e-05,1.0,1.0,0.0002
32,8.819609138145972e-06,1.0,1.0,0.0002
33,1.3455440496725354e-05,1.0,1.0,0.0002
34,1.4508765842928124e-05,1.0,1.0,0.0001
35,4.035232627429732e-05,1.0,1.0,0.0001
36,1.0103838803795202e-05,1.0,1.0,0.0001
37,4.843747959941894e-06,1.0,1.0,0.0001
38,6.374607062245462e-06,1.0,1.0,0.0
39,1.0819333974724403e-05,1.0,1.0,0.0
40,3.564092965905121e-06,1.0,1.0,0.0001
41,7.972375654987873e-06,1.0,1.0,0.0002
42,1.4896475013073337e-05,1.0,1.0,0.0002
43,8.61767403517195e-06,1.0,1.0,0.0002
44,2.820469289157756e-06,1.0,1.0,0.0002
45,3.639747002464494e-06,1.0,1.0,0.0003
46,3.2414063920305778e-06,1.0,0.9996,0.0004
47,3.361987206277681e-06,1.0,0.9996,0.0004
48,3.422798302250831e-06,1.0,1.0,0.0001
49,9.160220181186555e-06,1.0,1.0,0.0002
50,2.3063581867947924e-06,1.0,1.0,0.0001
