epoch,train_loss,train_acc,val_acc,val_loss
1,0.23245800086129487,0.9051643192488263,0.8836,0.2963
2,0.009607612022165216,0.997339593114241,0.8481,0.4578
3,0.002424166015373377,0.9996870109546165,0.978,0.0496
4,0.0007631431018178685,0.9998435054773083,0.9945,0.0167
5,0.0004154062444229023,1.0,0.9526,0.1188
6,0.0002794909629329867,1.0,0.9534,0.1206
7,0.00892989120665859,0.9979655712050078,0.8345,0.8649
8,0.002083445101242559,0.9993740219092332,0.9192,0.178
9,0.004062427707047075,0.9987480438184664,0.9551,0.117
10,0.0005279926920176395,1.0,0.9077,0.3758
11,0.00011536375610612396,1.0,0.9179,0.3133
12,0.00014450284705700643,1.0,0.9039,0.4711
13,0.001503391263999937,0.9996870109546165,0.9839,0.0442
14,0.00031118852771107986,1.0,0.9687,0.0886
15,0.0003302857790301526,1.0,0.9116,0.3142
16,0.00026112881935265713,0.9998435054773083,0.9124,0.3371
17,9.6074532566049e-05,1.0,0.9822,0.0452
18,2.313786092589949e-05,1.0,0.9873,0.0469
19,4.64157926292448e-05,1.0,0.9886,0.0387
20,3.471217085387819e-05,1.0,0.9852,0.0367
21,6.030171841882232e-05,1.0,0.9856,0.0394
22,9.534004300686933e-06,1.0,0.9852,0.0405
23,3.007265102258911e-05,1.0,0.9856,0.039
24,1.8867776211144514e-05,1.0,0.9843,0.044
25,7.215014641250589e-05,1.0,0.9217,0.3044
26,6.0842597210206457e-05,1.0,0.9882,0.0405
27,7.42774594721443e-05,1.0,0.9873,0.043
28,2.2233714581830277e-05,1.0,0.9903,0.0288
29,3.43459143052559e-05,1.0,0.9903,0.028
30,1.6048578990904306e-05,1.0,0.9907,0.0334
31,2.0009023888026195e-05,1.0,0.9882,0.0366
32,1.3168997779496241e-05,1.0,0.9886,0.0372
33,3.1144183344088696e-05,1.0,0.9551,0.1422
34,1.8186328714161876e-05,1.0,0.9264,0.3168
35,3.8500965742278825e-05,1.0,0.9873,0.0453
36,0.17940094537821574,0.9553990610328639,0.6966,2.898
37,0.02814847570439547,0.9902973395931143,0.8993,0.3115
38,0.0067659261441135165,0.9982785602503912,0.9272,0.2051
39,0.003005217352637173,0.9995305164319249,0.9797,0.0582
40,0.0031642476788591536,0.9990610328638497,0.9729,0.085
41,0.0006576780794120608,0.9998435054773083,0.997,0.0099
42,0.0002390567411740379,1.0,0.9894,0.0322
43,0.00045917403743307337,1.0,0.9979,0.0062
44,0.0001748168360446728,1.0,0.9987,0.0035
45,0.00024965109575684845,1.0,0.9941,0.0146
46,0.00018890481262762211,1.0,0.9945,0.0134
47,0.0002836697540149484,1.0,0.9949,0.0139
48,0.0002809663778900589,1.0,0.9848,0.0464
49,0.0003879021761590116,0.9998435054773083,0.9839,0.0467
50,4.419234012719426e-05,1.0,0.975,0.0738
