epoch,train_loss,train_acc,val_acc,val_loss
1,0.19771449027218288,0.9184149184149184,0.9615,0.0849
2,0.012768242341555255,0.997086247086247,0.8712,0.56
3,0.0018374128579916455,0.9998543123543123,1.0,0.0001
4,0.0009855562938395714,0.9997086247086248,1.0,0.0
5,0.00041716933800075814,1.0,1.0,0.0
6,0.0002802519862038585,1.0,1.0,0.0
7,0.00012276277901372213,1.0,1.0,0.0
8,0.00021225149582611237,1.0,1.0,0.0
9,4.799047197415526e-05,1.0,1.0,0.0
10,5.563661356347761e-05,1.0,1.0,0.0
11,0.00010390700157849136,1.0,1.0,0.0001
12,9.171155575439112e-05,1.0,1.0,0.0
13,8.322056740247492e-05,1.0,1.0,0.0
14,6.54308202868194e-05,1.0,1.0,0.0
15,2.1659498206602967e-05,1.0,1.0,0.0
16,7.887107745287904e-05,1.0,1.0,0.0
17,3.818063632425546e-05,1.0,1.0,0.0
18,2.5165983703915532e-05,1.0,1.0,0.0
19,0.0007425152823464111,0.9997086247086248,0.9947,0.0157
20,0.044134319344175096,0.9896561771561772,0.8485,0.5933
21,0.0021562192333690684,0.9994172494172494,1.0,0.0
22,0.0004735401810740071,1.0,0.9963,0.0105
23,0.0037986420269471148,0.9991258741258742,0.9984,0.0051
24,0.0038886133380827714,0.9985431235431236,0.9499,0.1595
25,0.0017315074720714101,0.9995629370629371,1.0,0.0
26,0.0004209372722373495,0.9998543123543123,1.0,0.0001
27,5.501421639834041e-05,1.0,1.0,0.0001
28,0.00019643907137458348,1.0,0.9995,0.0006
29,0.00014012599607633733,1.0,1.0,0.0003
30,0.0002018141451736167,0.9998543123543123,1.0,0.0002
31,2.8652776567011192e-05,1.0,1.0,0.0001
32,4.299198543604861e-05,1.0,1.0,0.0003
33,4.807738427751518e-05,1.0,1.0,0.0002
34,0.00011493615958647698,1.0,0.9995,0.0025
35,5.50544346743496e-05,1.0,1.0,0.0
36,2.9515076166166125e-05,1.0,1.0,0.0
37,3.0034835358524074e-05,1.0,1.0,0.0
38,1.4275760393307381e-05,1.0,1.0,0.0
39,1.1739236114385092e-05,1.0,1.0,0.0
40,7.193665600036422e-05,1.0,1.0,0.0
41,3.2687243375387864e-05,1.0,1.0,0.0004
42,4.144361649916949e-05,1.0,0.9995,0.0014
43,1.2667486078746283e-05,1.0,0.9995,0.0007
44,2.1093124070068905e-05,1.0,0.9995,0.0007
45,1.996170571311482e-05,1.0,0.9995,0.0007
46,1.7024138798585454e-05,1.0,1.0,0.0003
47,6.761252153368232e-05,1.0,0.9995,0.0005
48,1.5489031216126523e-05,1.0,1.0,0.0001
49,1.5491720460848798e-05,1.0,1.0,0.0002
50,4.010425840206821e-06,1.0,0.9995,0.0007
