epoch,train_loss,train_acc,val_acc,val_loss
1,0.19956518289482095,0.9163262431328356,0.9954,0.0093
2,0.014173332810378827,0.9960557825045782,0.9983,0.0047
3,0.003718559904592257,0.9992956754472461,0.9992,0.0035
4,0.002307106598617383,0.9992956754472461,0.9992,0.0018
5,0.00044024013063273385,1.0,0.9987,0.004
6,0.0024861820550013416,0.9990139456261445,0.9962,0.0143
7,0.018343906762774503,0.9947879983096211,0.9886,0.0292
8,0.002943566080139422,0.9994365403577968,0.9996,0.0013
9,0.0006610829667180069,0.9998591350894492,0.9987,0.0018
10,0.00012203973223538097,1.0,1.0,0.0002
11,0.00011970171975132927,1.0,1.0,0.0002
12,7.26410336813972e-05,1.0,1.0,0.0003
13,4.8594583798358176e-05,1.0,1.0,0.0002
14,5.323544775570826e-05,1.0,1.0,0.0001
15,6.466832339196299e-05,1.0,1.0,0.0002
16,3.58869419200969e-05,1.0,1.0,0.0001
17,2.7465161210414317e-05,1.0,1.0,0.0001
18,3.536365804793404e-05,1.0,1.0,0.0001
19,1.876937247202785e-05,1.0,1.0,0.0001
20,3.132693684848247e-05,1.0,1.0,0.0002
21,0.004430274837294996,0.9980278912522891,0.9958,0.0118
22,0.004246660214151538,0.9991548105366953,1.0,0.0003
23,0.00015821704416746368,1.0,1.0,0.0003
24,5.706705419670883e-05,1.0,0.9996,0.0004
25,5.5846740945044774e-05,1.0,1.0,0.0001
26,7.147721160881636e-05,1.0,0.9996,0.0006
27,3.277307448467542e-05,1.0,0.9996,0.0005
28,1.979293539990695e-05,1.0,1.0,0.0002
29,2.473143403490266e-05,1.0,1.0,0.0002
30,1.3166978607618577e-05,1.0,1.0,0.0003
31,1.266720299323635e-05,1.0,1.0,0.0003
32,1.2611204600328809e-05,1.0,1.0,0.0002
33,6.8817869097800985e-06,1.0,1.0,0.0003
34,1.6054960010826516e-05,1.0,1.0,0.0002
35,9.140045861838164e-06,1.0,1.0,0.0002
36,9.055210166319024e-06,1.0,1.0,0.0001
37,5.026070415876037e-06,1.0,1.0,0.0001
38,9.362954776912369e-06,1.0,1.0,0.0001
39,6.92259799302042e-06,1.0,1.0,0.0001
40,6.649388565203076e-06,1.0,1.0,0.0002
41,6.516686894174548e-06,1.0,1.0,0.0002
42,7.4981713625906045e-06,1.0,0.9996,0.0005
43,7.818607982428852e-06,1.0,1.0,0.0003
44,6.126842842764434e-06,1.0,1.0,0.0001
45,6.88387344579833e-06,1.0,1.0,0.0001
46,3.023091928606261e-06,1.0,1.0,0.0001
47,3.5067900311349306e-06,1.0,1.0,0.0001
48,1.104275782207098e-05,1.0,1.0,0.0001
49,2.6164981137478527e-06,1.0,1.0,0.0
50,4.604131601524897e-06,1.0,1.0,0.0001
