epoch,train_loss,train_acc,val_acc,val_loss
1,0.22679284561602997,0.9077393965894185,0.8384,0.9356
2,0.002902101757239147,0.9997084973036,0.9158,0.4082
3,0.0025403153456284924,0.9991254919108001,0.89,0.4778
4,0.002029164959866093,0.9995627459554001,0.934,0.2361
5,0.0009444667436475701,0.9998542486518001,0.9192,0.3462
6,0.00030571030065822954,1.0,0.9146,0.4403
7,0.00017813591706719427,1.0,0.9387,0.2885
8,0.00011811884898698851,1.0,0.9057,0.5112
9,7.556247960406678e-05,1.0,0.9247,0.4044
10,5.413225805126447e-05,1.0,0.9116,0.4944
11,4.092510123014672e-05,1.0,0.9239,0.4399
12,3.995085292178012e-05,1.0,0.9146,0.4747
13,0.0015605834116488684,0.9991254919108001,0.9602,0.1552
14,0.00991598805085513,0.9966477189914007,0.8803,0.6368
15,0.0034147654099094264,0.9992712432590002,0.9272,0.4143
16,0.00025371673920743205,0.9998542486518001,0.9602,0.1897
17,7.13399364008915e-05,1.0,0.9569,0.2186
18,4.0071381539576446e-05,1.0,0.9552,0.2268
19,4.4679929287657015e-05,1.0,0.9497,0.2698
20,2.299945616234251e-05,1.0,0.9505,0.2552
21,1.9703562839449927e-05,1.0,0.9547,0.2336
22,3.009604953208911e-05,1.0,0.9442,0.3103
23,2.4429577108596374e-05,1.0,0.9488,0.267
24,1.2631107374415626e-05,1.0,0.9514,0.2484
25,2.121052941738159e-05,1.0,0.9475,0.2785
26,1.4889515646155052e-05,1.0,0.9475,0.2813
27,1.1166645580567635e-05,1.0,0.948,0.2832
28,8.910452725809044e-06,1.0,0.9454,0.2945
29,2.948470920449566e-05,1.0,0.9454,0.3009
30,1.6223599594719134e-05,1.0,0.9463,0.3034
31,7.946836300381881e-06,1.0,0.9442,0.3194
32,1.2003394548287874e-05,1.0,0.9484,0.2876
33,6.739159617036611e-06,1.0,0.9484,0.2915
34,0.0001087907241369723,1.0,0.9082,0.7224
35,1.8922760265053128e-05,1.0,0.9264,0.4813
36,1.1810723861948154e-05,1.0,0.9247,0.4998
37,9.991860360750716e-06,1.0,0.9298,0.4805
38,3.6592805693951065e-06,1.0,0.9319,0.4648
39,9.462615312694463e-06,1.0,0.931,0.4697
40,5.675967515097224e-06,1.0,0.9294,0.4859
41,6.472254693144276e-06,1.0,0.9336,0.4578
42,2.6671791127253513e-06,1.0,0.937,0.4274
43,4.659890077566616e-06,1.0,0.9357,0.4346
44,4.742932964576426e-06,1.0,0.9357,0.4466
45,7.5531899067586395e-06,1.0,0.9336,0.4647
46,5.110302982180838e-06,1.0,0.9353,0.4497
47,4.357879318486241e-06,1.0,0.9374,0.4323
48,4.580212359979882e-06,1.0,0.9374,0.4368
49,5.953384139177234e-06,1.0,0.9374,0.4349
50,3.6865181072457568e-06,1.0,0.9404,0.4175
