epoch,train_loss,train_acc,val_acc,val_loss
1,0.23817730486977118,0.9022259791490561,0.9932,0.019
2,0.015856672691117797,0.9959143420681882,0.9932,0.0263
3,0.011024551091997268,0.9963369963369964,0.9911,0.0383
4,0.013556960930013344,0.9959143420681882,0.997,0.0084
5,0.0038909879723019536,0.9990138067061144,0.9962,0.0156
6,0.0006172121844556166,1.0,0.9983,0.0027
7,0.0002881921444590637,1.0,0.9987,0.0064
8,0.00013806590409701274,1.0,0.9987,0.0034
9,0.00021896508666284558,1.0,0.9996,0.0012
10,0.0001307309654874634,1.0,0.9987,0.0047
11,9.323868988455824e-05,1.0,0.9987,0.0048
12,0.0001314396905074713,1.0,0.9992,0.002
13,8.876880645450886e-05,1.0,0.9992,0.0017
14,8.608841001899137e-05,1.0,0.9992,0.0018
15,3.606080197003239e-05,1.0,0.9992,0.0029
16,3.464216375514428e-05,1.0,0.9992,0.0029
17,4.64185442726022e-05,1.0,0.9992,0.0034
18,2.6424372763482695e-05,1.0,0.9987,0.0041
19,4.24583514638844e-05,1.0,0.9992,0.0038
20,1.876344231918141e-05,1.0,0.9992,0.0038
21,2.0467647942651412e-05,1.0,0.9992,0.0036
22,3.204875285068419e-05,1.0,0.9992,0.002
23,4.2793583829674196e-05,1.0,0.9992,0.0031
24,8.163508246087363e-05,1.0,1.0,0.0002
25,0.0001275413273233974,1.0,0.9983,0.0076
26,2.8200409691837483e-05,1.0,0.9987,0.0034
27,3.858188497557015e-05,1.0,0.9996,0.0008
28,1.5375076659262947e-05,1.0,0.9987,0.0033
29,6.067341747146209e-05,1.0,0.9987,0.0035
30,1.6167534075529545e-05,1.0,0.9987,0.0033
31,3.57906413662695e-05,1.0,0.9996,0.0008
32,5.363827118155107e-05,1.0,0.9987,0.0031
33,1.45998995118096e-05,1.0,0.9987,0.0044
34,2.9369779740227284e-05,1.0,0.9987,0.0035
35,1.1524196962076301e-05,1.0,0.9987,0.0054
36,9.881208542823415e-06,1.0,0.9987,0.0029
37,1.2054318065143822e-05,1.0,0.9987,0.005
38,6.670559588689733e-06,1.0,0.9996,0.0008
39,6.967803071601487e-06,1.0,0.9996,0.001
40,9.398155576612606e-06,1.0,0.9992,0.0021
41,3.492827402417435e-06,1.0,0.9987,0.0033
42,1.5740373967511202e-05,1.0,0.9987,0.0032
43,8.97309864017361e-06,1.0,0.9987,0.0059
44,1.6577200594787665e-05,1.0,0.9987,0.0041
45,1.0184620588316851e-05,1.0,0.9987,0.0081
46,5.272326682731224e-06,1.0,0.9983,0.0084
47,8.333547772150218e-06,1.0,0.9992,0.0018
48,5.097145257558673e-06,1.0,0.9996,0.0015
49,3.6264050127619155e-06,1.0,0.9992,0.0024
50,6.117121131970972e-06,1.0,0.9987,0.0041
