epoch,train_loss,train_acc,val_acc,val_loss
1,0.19291131460459113,0.9309859154929577,0.8574,0.6875
2,0.008612344639393296,0.9971830985915493,0.8443,0.9176
3,0.008486523582065895,0.9976525821596244,0.9361,0.2451
4,0.002277511242410556,0.9993740219092332,0.9166,0.2888
5,0.001073396788220102,0.9996870109546165,0.9564,0.132
6,0.00019477880569881758,1.0,0.9628,0.1152
7,0.0001516630486433532,1.0,0.9632,0.1214
8,8.587011243990063e-05,1.0,0.9704,0.1083
9,5.689281734448627e-05,1.0,0.9721,0.0979
10,4.56922126743596e-05,1.0,0.9678,0.1082
11,4.9036103114809114e-05,1.0,0.9759,0.0894
12,5.879330333848433e-05,1.0,0.9776,0.0867
13,4.159358367828524e-05,1.0,0.9738,0.1135
14,5.3161391974789806e-05,1.0,0.97,0.1118
15,3.2567719064931616e-05,1.0,0.9733,0.1028
16,2.6772082442996993e-05,1.0,0.97,0.115
17,2.9198658860896417e-05,1.0,0.9729,0.1047
18,1.8609794451891128e-05,1.0,0.975,0.1011
19,2.074133183601996e-05,1.0,0.9738,0.1092
20,2.0449626910265576e-05,1.0,0.9738,0.108
21,2.6085039149002855e-05,1.0,0.9784,0.0852
22,1.1570478478797056e-05,1.0,0.9771,0.0924
23,9.829171721181276e-06,1.0,0.9763,0.1009
24,2.8430500712886176e-05,1.0,0.9615,0.1719
25,1.8522739073446127e-05,1.0,0.9708,0.1327
26,1.215546156449128e-05,1.0,0.9721,0.1296
27,1.1231226334372232e-05,1.0,0.9729,0.1256
28,2.879368801904077e-05,1.0,0.9797,0.099
29,1.1412505496786841e-05,1.0,0.9763,0.1169
30,2.447082098543477e-05,1.0,0.9805,0.0905
31,1.719272156549234e-05,1.0,0.9822,0.0828
32,6.765505622609913e-06,1.0,0.9784,0.0954
33,8.236606869084508e-06,1.0,0.9767,0.0991
34,6.479247487977018e-06,1.0,0.9776,0.0991
35,1.0367210426112352e-05,1.0,0.9733,0.1185
36,9.139945891028033e-06,1.0,0.9755,0.1087
37,4.690471207037043e-06,1.0,0.975,0.1131
38,5.375437552897885e-05,1.0,0.9733,0.1176
39,2.52861886556652e-06,1.0,0.9742,0.1156
40,7.645450919519594e-06,1.0,0.9742,0.1115
41,6.908946509330877e-06,1.0,0.9708,0.1242
42,5.883873985885444e-06,1.0,0.9712,0.1249
43,3.528475377255964e-06,1.0,0.9729,0.124
44,4.449297800792934e-06,1.0,0.975,0.117
45,6.057254599823958e-06,1.0,0.9733,0.122
46,4.4193542115961444e-05,1.0,0.8138,1.2068
47,0.13778239876419562,0.9663536776212832,0.8599,0.4772
48,0.005370886053151053,0.9984350547730829,0.9255,0.274
49,0.0018734935342659591,0.9996870109546165,0.9661,0.1561
50,0.00043406832288420165,1.0,0.9505,0.2038
