epoch,train_loss,train_acc,val_acc,val_loss
1,0.15392515970700926,0.9379099256668124,0.9137,0.353
2,0.0021544896969837085,0.9995627459554001,0.9107,0.3626
3,0.0007182232640204517,1.0,0.9404,0.2883
4,0.00018894253267886312,1.0,0.9095,0.4689
5,0.00014967644408480897,1.0,0.9636,0.1509
6,0.0001953600455678568,1.0,0.9133,0.4568
7,0.00010232567124223669,1.0,0.9412,0.2773
8,8.167122902464298e-05,1.0,0.9332,0.3095
9,6.567785040254094e-05,1.0,0.923,0.4012
10,6.771602240840159e-05,1.0,0.9239,0.418
11,3.54812624101275e-05,1.0,0.9395,0.3074
12,3.663404248324895e-05,1.0,0.9319,0.3437
13,3.8866886142732764e-05,1.0,0.9277,0.3816
14,2.5229713780352693e-05,1.0,0.9289,0.3703
15,1.8940568513186287e-05,1.0,0.9374,0.3182
16,1.4844579232907475e-05,1.0,0.9234,0.4172
17,1.6834869160267703e-05,1.0,0.9213,0.4588
18,3.199213004014487e-05,1.0,0.9323,0.3907
19,1.175433562274979e-05,1.0,0.9433,0.3099
20,1.4358778767997477e-05,1.0,0.9277,0.4097
21,1.2677958712751157e-05,1.0,0.9272,0.4103
22,1.2635208291659725e-05,1.0,0.9294,0.4375
23,7.510742743392994e-06,1.0,0.934,0.3993
24,1.2122883581063435e-05,1.0,0.9289,0.4336
25,1.2417398409426557e-05,1.0,0.9201,0.4844
26,6.297136078138138e-06,1.0,0.9281,0.3998
27,7.16473373583584e-06,1.0,0.926,0.4308
28,0.10817992325055352,0.9765340329398047,0.9425,0.2339
29,0.01022187289005427,0.9970849730360006,0.8731,0.6858
30,0.0012959893441000187,0.9997084973036,0.8909,0.6763
31,0.0005478425962632111,1.0,0.9052,0.5694
32,0.0003083397127678548,1.0,0.9137,0.6291
33,0.00012677552631373443,1.0,0.9044,0.7138
34,0.00010507771592326473,1.0,0.9065,0.6981
35,7.816814258923235e-05,1.0,0.9048,0.7204
36,9.828187535200589e-05,1.0,0.904,0.7461
37,8.841350480588829e-05,1.0,0.9006,0.7832
38,4.522712988477187e-05,1.0,0.9057,0.7508
39,6.148257855468432e-05,1.0,0.9031,0.776
40,7.054542081507485e-05,1.0,0.9069,0.7363
41,4.277794153177835e-05,1.0,0.9057,0.7551
42,6.734262653824049e-05,1.0,0.9031,0.8151
43,4.553524535869487e-05,1.0,0.9002,0.8041
44,2.3633495174725963e-05,1.0,0.901,0.802
45,5.162870184047552e-05,1.0,0.8964,0.8272
46,2.8901265412264137e-05,1.0,0.8947,0.8776
47,4.897029387130692e-05,1.0,0.8972,0.8665
48,3.4081441564751385e-05,1.0,0.8964,0.8606
49,1.902943521130016e-05,1.0,0.9006,0.8077
50,6.252440056389953e-05,1.0,0.8997,0.8194
